"Notes"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	64	9587365	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	47	9637462	0.5
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	67	9488430	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	57	9447846	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	46	9390497	0.5
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	11	9637462	Unreliable
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	11	9488430	Unreliable
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	14	9447846	Unreliable
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	10	9488430	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	10	9390497	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	21	10157924	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	11	10211937	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	19	10053779	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	11	10005715	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	17	9946279	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	33	9587365	0.3
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	17	9637462	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	16	9488430	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	19	9447846	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	20	9390497	0.2
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	12	9447846	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	56	10157924	0.6
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	39	10211937	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	41	10053779	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	35	10005715	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	30	9946279	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	47	9587365	0.5
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	35	9637462	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	51	9488430	0.5
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	27	9447846	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	34	9390497	0.4
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	1210	10157924	11.9
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	1092	10211937	10.7
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	837	10053779	8.3
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	796	10005715	8.0
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	864	9946279	8.7
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	1116	9587365	11.6
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	998	9637462	10.4
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	812	9488430	8.6
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	808	9447846	8.6
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	882	9390497	9.4
	"Legionnaires disease"	"A48.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	11	10053779	Unreliable
	"Legionnaires disease"	"A48.1"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	16	9637462	Unreliable
	"Legionnaires disease"	"A48.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	19	9488430	Unreliable
	"Legionnaires disease"	"A48.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	23	9447846	0.2
	"Legionnaires disease"	"A48.1"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	13	9390497	Unreliable
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	12	10157924	Unreliable
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	19	10211937	Unreliable
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	38	10053779	0.4
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	27	10005715	0.3
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	26	9946279	0.3
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	33	9587365	0.3
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	24	9637462	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	32	9488430	0.3
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	29	9447846	0.3
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	47	9390497	0.5
	"Streptococcal infection, unspecified"	"A49.1"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	11	10211937	Unreliable
	"Streptococcal infection, unspecified"	"A49.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	17	10053779	Unreliable
	"Streptococcal infection, unspecified"	"A49.1"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	21	9946279	0.2
	"Streptococcal infection, unspecified"	"A49.1"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	15	9637462	Unreliable
	"Streptococcal infection, unspecified"	"A49.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	16	9488430	Unreliable
	"Streptococcal infection, unspecified"	"A49.1"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	12	9390497	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	16	10157924	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	13	10211937	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	14	10053779	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	18	10005715	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	20	9946279	0.2
	"Other bacterial infections of unspecified site"	"A49.8"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	17	9637462	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	12	9488430	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	18	9447846	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	17	9390497	Unreliable
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	20	10157924	0.2
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	26	10211937	0.3
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	34	10053779	0.3
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	34	10005715	0.3
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	46	9946279	0.5
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	24	9587365	0.3
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	24	9637462	0.2
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	32	9488430	0.3
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	48	9447846	0.5
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	42	9390497	0.4
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	11	10157924	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	17	10211937	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	24	10053779	0.2
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	23	10005715	0.2
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	19	9946279	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	17	9587365	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	13	9637462	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	19	9447846	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	11	10157924	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	12	10053779	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	20	9587365	0.2
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	16	9637462	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	22	9488430	0.2
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	14	9447846	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	17	9390497	Unreliable
	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	10	9447846	Unreliable
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	118	10157924	1.2
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	78	10211937	0.8
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	77	10053779	0.8
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	62	10005715	0.6
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	54	9946279	0.5
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	196	9587365	2.0
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	161	9637462	1.7
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	136	9488430	1.4
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	100	9447846	1.1
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	91	9390497	1.0
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	23	10157924	0.2
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	13	10211937	Unreliable
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	22	10053779	0.2
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	19	10005715	Unreliable
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	18	9946279	Unreliable
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	31	9587365	0.3
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	26	9637462	0.3
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	31	9488430	0.3
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	29	9447846	0.3
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	21	9390497	0.2
	"HIV disease resulting in other viral infections"	"B20.3"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	10	10157924	Unreliable
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	28	9587365	0.3
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	12	9637462	Unreliable
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	16	9488430	Unreliable
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	14	9447846	Unreliable
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	15	9390497	Unreliable
	"HIV disease resulting in other mycoses"	"B20.5"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	10	9587365	Unreliable
	"HIV disease resulting in other mycoses"	"B20.5"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	11	9447846	Unreliable
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	12	9447846	Unreliable
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	10	9390497	Unreliable
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	30	10157924	0.3
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	24	10211937	0.2
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	15	10053779	Unreliable
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	27	10005715	0.3
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	13	9946279	Unreliable
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	48	9587365	0.5
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	49	9637462	0.5
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	31	9488430	0.3
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	48	9447846	0.5
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	36	9390497	0.4
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	18	10157924	Unreliable
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	11	10211937	Unreliable
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	18	10053779	Unreliable
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	10	10005715	Unreliable
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	43	9587365	0.4
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	29	9637462	0.3
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	30	9488430	0.3
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	25	9447846	0.3
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	25	9390497	0.3
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	15	9587365	Unreliable
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	10	9637462	Unreliable
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	10	9488430	Unreliable
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	16	9587365	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	15	10157924	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	18	10211937	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	13	10005715	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	10	9946279	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	43	9587365	0.4
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	25	9637462	0.3
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	24	9488430	0.3
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	19	9447846	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	34	9390497	0.4
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	23	10157924	0.2
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	26	10211937	0.3
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	22	10053779	0.2
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	21	10005715	0.2
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	34	9946279	0.3
	"HIV disease resulting in other specified conditions"	"B23.8"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	58	9587365	0.6
	"HIV disease resulting in other specified conditions"	"B23.8"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	60	9637462	0.6
	"HIV disease resulting in other specified conditions"	"B23.8"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	63	9488430	0.7
	"HIV disease resulting in other specified conditions"	"B23.8"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	53	9447846	0.6
	"HIV disease resulting in other specified conditions"	"B23.8"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	75	9390497	0.8
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	29	10157924	0.3
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	29	10211937	0.3
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	19	10053779	Unreliable
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	12	10005715	Unreliable
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	16	9946279	Unreliable
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	56	9587365	0.6
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	57	9637462	0.6
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	42	9488430	0.4
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	42	9447846	0.4
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	38	9390497	0.4
	"Coronavirus infection, unspecified"	"B34.2"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	257	9946279	2.6
	"Coronavirus infection, unspecified"	"B34.2"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	394	9390497	4.2
	"Other viral infections of unspecified site"	"B34.8"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	10	10157924	Unreliable
