"Notes"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	19	10184278	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	25	9431804	0.3
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	19	9489217	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	18	9536193	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	17	9581261	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	17	9611513	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	119	10033393	1.2
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	103	10081044	1.0
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	116	10114934	1.1
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	109	10164966	1.1
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	91	10184278	0.9
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	79	9431804	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	74	9489217	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	66	9536193	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	60	9581261	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	55	9611513	0.6
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	16	9431804	Unreliable
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	12	9581261	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	10	9611513	Unreliable
	"Streptococcal septicaemia, unspecified"	"A40.9"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	10	9489217	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	22	10033393	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	21	10081044	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	26	10114934	0.3
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	20	10164966	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	23	10184278	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	18	9431804	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	23	9489217	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	33	9536193	0.3
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	21	9581261	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	20	9611513	0.2
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	14	10033393	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	10	10114934	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	10	10164966	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	11	9431804	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	10	9536193	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	11	9581261	Unreliable
	"Septicaemia due to anaerobes"	"A41.4"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	11	10081044	Unreliable
	"Septicaemia due to anaerobes"	"A41.4"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	10	10184278	Unreliable
	"Septicaemia due to anaerobes"	"A41.4"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	10	9581261	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	47	10033393	0.5
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	52	10081044	0.5
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	70	10114934	0.7
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	42	10164966	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	59	10184278	0.6
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	43	9431804	0.5
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	39	9489217	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	56	9536193	0.6
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	62	9581261	0.6
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	37	9611513	0.4
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	1070	10033393	10.7
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	1161	10081044	11.5
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	1154	10114934	11.4
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	1279	10164966	12.6
	"Septicaemia, unspecified"	"A41.9"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	1241	10184278	12.2
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	949	9431804	10.1
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	994	9489217	10.5
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	977	9536193	10.2
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	1076	9581261	11.2
	"Septicaemia, unspecified"	"A41.9"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	1160	9611513	12.1
	"Legionnaires disease"	"A48.1"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	12	9536193	Unreliable
	"Legionnaires disease"	"A48.1"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	16	9611513	Unreliable
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	22	10033393	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	20	10081044	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	18	10114934	Unreliable
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	24	10164966	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	20	10184278	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	21	9431804	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	21	9489217	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	23	9536193	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	21	9581261	0.2
	"Staphylococcal infection, unspecified"	"A49.0"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	25	9611513	0.3
	"Streptococcal infection, unspecified"	"A49.1"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	10	10033393	Unreliable
	"Streptococcal infection, unspecified"	"A49.1"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	15	10114934	Unreliable
	"Streptococcal infection, unspecified"	"A49.1"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	11	9536193	Unreliable
	"Streptococcal infection, unspecified"	"A49.1"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	12	9581261	Unreliable
	"Streptococcal infection, unspecified"	"A49.1"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	11	9611513	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	17	10081044	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	10	10164966	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	10	10184278	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	15	9431804	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	12	9489217	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	11	9581261	Unreliable
	"Other bacterial infections of unspecified site"	"A49.8"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	11	9611513	Unreliable
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	22	10033393	0.2
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	31	10081044	0.3
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	33	10114934	0.3
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	24	10164966	0.2
	"Bacterial infection, unspecified"	"A49.9"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	27	10184278	0.3
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	34	9431804	0.4
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	21	9489217	0.2
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	18	9536193	Unreliable
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	22	9581261	0.2
	"Bacterial infection, unspecified"	"A49.9"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	27	9611513	0.3
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	14	10114934	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	14	10164966	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	24	10184278	0.2
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	13	9536193	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	12	9581261	Unreliable
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	14	9611513	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	13	10033393	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	19	10081044	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	20	10114934	0.2
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	11	10164966	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	10	10184278	Unreliable
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	34	9431804	0.4
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	25	9489217	0.3
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	28	9536193	0.3
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	28	9581261	0.3
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	20	9611513	0.2
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	148	10033393	1.5
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	176	10081044	1.7
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	182	10114934	1.8
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	172	10164966	1.7
	"Chronic viral hepatitis C"	"B18.2"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	127	10184278	1.2
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	306	9431804	3.2
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	316	9489217	3.3
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	308	9536193	3.2
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	276	9581261	2.9
	"Chronic viral hepatitis C"	"B18.2"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	267	9611513	2.8
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	27	10033393	0.3
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	28	10081044	0.3
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	26	10114934	0.3
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	22	10164966	0.2
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	22	10184278	0.2
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	56	9431804	0.6
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	44	9489217	0.5
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	45	9536193	0.5
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	57	9581261	0.6
	"HIV disease resulting in other bacterial infections"	"B20.1"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	46	9611513	0.5
	"HIV disease resulting in other viral infections"	"B20.3"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	26	10033393	0.3
	"HIV disease resulting in other viral infections"	"B20.3"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	14	10081044	Unreliable
	"HIV disease resulting in other viral infections"	"B20.3"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	18	10114934	Unreliable
	"HIV disease resulting in other viral infections"	"B20.3"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	15	10164966	Unreliable
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	62	9431804	0.7
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	41	9489217	0.4
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	40	9536193	0.4
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	35	9581261	0.4
	"HIV disease resulting in other viral infections"	"B20.3"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	27	9611513	0.3
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	14	9431804	Unreliable
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	16	9489217	Unreliable
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	10	9536193	Unreliable
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	11	9581261	Unreliable
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	41	10033393	0.4
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	32	10081044	0.3
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	31	10114934	0.3
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	26	10164966	0.3
	"HIV disease resulting in multiple infections"	"B20.7"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	29	10184278	0.3
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	72	9431804	0.8
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	63	9489217	0.7
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	74	9536193	0.8
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	48	9581261	0.5
	"HIV disease resulting in multiple infections"	"B20.7"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	57	9611513	0.6
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	27	10033393	0.3
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	26	10081044	0.3
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	25	10114934	0.2
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	24	10164966	0.2
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	16	10184278	Unreliable
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	64	9431804	0.7
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	53	9489217	0.6
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	36	9536193	0.4
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	34	9581261	0.4
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	31	9611513	0.3
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	29	9431804	0.3
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	20	9489217	0.2
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	16	9536193	Unreliable
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	14	9581261	Unreliable
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	15	9611513	Unreliable
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	12	10081044	Unreliable
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	16	9431804	Unreliable
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	12	9489217	Unreliable
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	11	9536193	Unreliable
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	13	9581261	Unreliable
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	12	9611513	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	19	10033393	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	10	10081044	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	21	10114934	0.2
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	12	10164966	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	12	10184278	Unreliable
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	50	9431804	0.5
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	40	9489217	0.4
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	43	9536193	0.5
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	33	9581261	0.3
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	37	9611513	0.4
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	15	9431804	Unreliable
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	10	9489217	Unreliable
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	45	10033393	0.4
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	36	10081044	0.4
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	42	10114934	0.4
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	27	10164966	0.3
	"HIV disease resulting in other specified conditions"	"B23.8"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	29	10184278	0.3
	"HIV disease resulting in other specified conditions"	"B23.8"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	72	9431804	0.8
	"HIV disease resulting in other specified conditions"	"B23.8"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	79	9489217	0.8
