"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	139	5770725	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	696	10648149	6.5
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	3813	66045342	5.8
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	17	519996	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	113	5074053	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	1626	11476326	14.2
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	4425	72185389	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	43	504796	8.5
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	474	4675856	10.1
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	2683	9726071	27.6
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	14925	70088892	21.3
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	40	357849	11.2
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	384	3619798	10.6
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	4171	8734100	47.8
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	13861	62299504	22.2
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	87	320548	27.1
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	1222	3286340	37.2
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	6018	6906149	87.1
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	36490	58492518	62.4
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	91	190995	47.6
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	1135	2093299	54.2
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	8322	5459005	152.4
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	39520	43823608	90.2
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	119	156431	76.1
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	2026	1836909	110.3
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	9753	3783239	257.8
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	72090	37544294	192.0
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	103	94854	108.6
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	2582	990119	260.8
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	15308	3068725	498.8
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	120034	30963160	387.7
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	119	62858	189.3
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	3110	782963	397.2
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	11927	1706953	698.7
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	139902	21463833	651.8
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	174	38292	454.4
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	4475	341925	1308.8
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	22706	1255727	1808.2
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	292105	15990292	1826.8
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	89	19859	448.2
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	2997	212628	1409.5
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	8410	478883	1756.2
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	163240	7355449	2219.3
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	30	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	12	82297881	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	15	13417190	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	33	82236096	0.0
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	30	13755666	0.2
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	126	86137473	0.1
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	10	938294	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	100	11977117	0.8
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	311	77724845	0.4
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	17	974430	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	20	4053454	0.5
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	265	11118443	2.4
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	1121	80449227	1.4
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	30	883898	3.4
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	13	3489702	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	621	11217100	5.5
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	1978	83381041	2.4
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	97	886684	10.9
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	134	3293578	4.1
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	1254	10068259	12.5
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	6540	84551821	7.7
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	96	793815	12.1
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	43	2596117	1.7
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	2056	10487157	19.6
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	7223	88817065	8.1
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	252	775513	32.5
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	232	2321508	10.0
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	4021	9232177	43.6
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	24321	88458701	27.5
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	191	556378	34.3
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	135	1833653	7.4
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	4239	8018090	52.9
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	18480	76690763	24.1
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	424	516439	82.1
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	373	1552157	24.0
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	7426	6645617	111.7
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	50077	73960359	67.7
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	305	286489	106.5
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	333	1062819	31.3
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	6917	4948207	139.8
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	42228	53182087	79.4
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	481	244591	196.7
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	646	877500	73.6
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	8933	3630379	246.1
	"Census Region 2: Midwest"	"CENS-R2"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	83876	47054368	178.3
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	346	124782	277.3
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	674	472864	142.5
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	10650	2758875	386.0
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	108298	36056508	300.4
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	370	89975	411.2
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	749	351846	212.9
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	9567	1682671	568.6
	"Census Region 2: Midwest"	"CENS-R2"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	141953	25848082	549.2
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	310	44019	704.2
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	888	155520	571.0
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	13341	1118506	1192.8
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	236077	18111755	1303.4
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	188	21514	873.8
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	669	87382	765.6
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	6093	469501	1297.8
	"Census Region 2: Midwest"	"CENS-R2"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	148350	8437871	1758.1
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	14	116664300	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	18	40876950	Unreliable
	"Census Region 3: South"	"CENS-R3"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	18	122543006	Unreliable
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	36	41076880	0.1
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	50	120101023	0.0
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	94	41062015	0.2
	"Census Region 3: South"	"CENS-R3"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	150	127895148	0.1
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	275	38132105	0.7
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	431	122595575	0.4
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	17	2033547	Unreliable
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	47	6974042	0.7
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	587	34619771	1.7
	"Census Region 3: South"	"CENS-R3"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	1359	127192324	1.1
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	39	1801239	2.2
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	20	7229480	0.3
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	1326	37112297	3.6
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	2817	128214364	2.2
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	74	1852670	4.0
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	145	6511677	2.2
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	2784	32290881	8.6
	"Census Region 3: South"	"CENS-R3"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	8283	129949399	6.4
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	116	1634175	7.1
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	96	5689182	1.7
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	4587	34777904	13.2
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	10263	131659126	7.8
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	254	1613064	15.7
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	465	4970834	9.4
