"Notes"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Shigellosis, unspecified"	"A03.9"	"2013"	"2013"	4	316128839	Unreliable
	"Shigellosis, unspecified"	"A03.9"	"2014"	"2014"	3	318857056	Unreliable
	"Shigellosis, unspecified"	"A03.9"	"2015"	"2015"	1	321418820	Unreliable
	"Shigellosis, unspecified"	"A03.9"	"2016"	"2016"	2	323127513	Unreliable
	"Shigellosis, unspecified"	"A03.9"	"2018"	"2018"	1	327167434	Unreliable
	"Shigellosis, unspecified"	"A03.9"	"2019"	"2019"	4	328239523	Unreliable
	"Shigellosis, unspecified"	"A03.9"	"2020 "	"2020"	3	329484123	Unreliable
	"Enteropathogenic Escherichia coli infection"	"A04.0"	"2017"	"2017"	1	325719178	Unreliable
	"Enteropathogenic Escherichia coli infection"	"A04.0"	"2018"	"2018"	1	327167434	Unreliable
	"Enteropathogenic Escherichia coli infection"	"A04.0"	"2019"	"2019"	1	328239523	Unreliable
	"Enteropathogenic Escherichia coli infection"	"A04.0"	"2020 "	"2020"	1	329484123	Unreliable
	"Enterotoxigenic Escherichia coli infection"	"A04.1"	"2016"	"2016"	1	323127513	Unreliable
	"Enterotoxigenic Escherichia coli infection"	"A04.1"	"2019"	"2019"	1	328239523	Unreliable
	"Enteroinvasive Escherichia coli infection"	"A04.2"	"2018"	"2018"	1	327167434	Unreliable
	"Enterohaemorrhagic Escherichia coli infection"	"A04.3"	"2012"	"2012"	1	313914040	Unreliable
	"Enterohaemorrhagic Escherichia coli infection"	"A04.3"	"2019"	"2019"	1	328239523	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2011"	"2011"	1	311591917	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2012"	"2012"	4	313914040	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2014"	"2014"	3	318857056	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2015"	"2015"	3	321418820	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2016"	"2016"	5	323127513	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2017"	"2017"	5	325719178	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2018"	"2018"	7	327167434	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2019"	"2019"	6	328239523	Unreliable
	"Other intestinal Escherichia coli infections"	"A04.4"	"2020 "	"2020"	12	329484123	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2011"	"2011"	5	311591917	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2012"	"2012"	4	313914040	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2013"	"2013"	9	316128839	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2014"	"2014"	2	318857056	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2015"	"2015"	2	321418820	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2016"	"2016"	5	323127513	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2017"	"2017"	8	325719178	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2018"	"2018"	9	327167434	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2019"	"2019"	5	328239523	Unreliable
	"Campylobacter enteritis"	"A04.5"	"2020 "	"2020"	8	329484123	Unreliable
	"Enteritis due to Yersinia enterocolitica"	"A04.6"	"2014"	"2014"	1	318857056	Unreliable
	"Enteritis due to Yersinia enterocolitica"	"A04.6"	"2016"	"2016"	1	323127513	Unreliable
	"Enteritis due to Yersinia enterocolitica"	"A04.6"	"2017"	"2017"	1	325719178	Unreliable
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2011"	"2011"	8085	311591917	2.6
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2012"	"2012"	7739	313914040	2.5
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2013"	"2013"	7665	316128839	2.4
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2014"	"2014"	7130	318857056	2.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2015"	"2015"	7410	321418820	2.3
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2016"	"2016"	6768	323127513	2.1
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2017"	"2017"	6118	325719178	1.9
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2018"	"2018"	5249	327167434	1.6
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2019"	"2019"	4533	328239523	1.4
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"2020 "	"2020"	4069	329484123	1.2
	"Other specified bacterial intestinal infections"	"A04.8"	"2011"	"2011"	73	311591917	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2012"	"2012"	98	313914040	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2013"	"2013"	80	316128839	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2014"	"2014"	81	318857056	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2015"	"2015"	64	321418820	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2016"	"2016"	60	323127513	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2017"	"2017"	65	325719178	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2018"	"2018"	62	327167434	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2019"	"2019"	54	328239523	0.0
	"Other specified bacterial intestinal infections"	"A04.8"	"2020 "	"2020"	44	329484123	0.0
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2011"	"2011"	20	311591917	0.0
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2012"	"2012"	20	313914040	0.0
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2013"	"2013"	27	316128839	0.0
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2014"	"2014"	20	318857056	0.0
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2015"	"2015"	13	321418820	Unreliable
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2016"	"2016"	19	323127513	Unreliable
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2017"	"2017"	18	325719178	Unreliable
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2018"	"2018"	16	327167434	Unreliable
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2019"	"2019"	14	328239523	Unreliable
	"Bacterial intestinal infection, unspecified"	"A04.9"	"2020 "	"2020"	23	329484123	0.0
	"Botulism"	"A05.1"	"2012"	"2012"	1	313914040	Unreliable
	"Botulism"	"A05.1"	"2013"	"2013"	1	316128839	Unreliable
	"Botulism"	"A05.1"	"2014"	"2014"	2	318857056	Unreliable
	"Botulism"	"A05.1"	"2015"	"2015"	4	321418820	Unreliable
	"Botulism"	"A05.1"	"2016"	"2016"	4	323127513	Unreliable
	"Botulism"	"A05.1"	"2017"	"2017"	3	325719178	Unreliable
	"Botulism"	"A05.1"	"2019"	"2019"	4	328239523	Unreliable
	"Botulism"	"A05.1"	"2020 "	"2020"	2	329484123	Unreliable
	"Foodborne Clostridium perfringens [Clostridium welchii] intoxication"	"A05.2"	"2016"	"2016"	3	323127513	Unreliable
	"Foodborne Vibrio parahaemolyticus intoxication"	"A05.3"	"2015"	"2015"	1	321418820	Unreliable
	"Foodborne Vibrio parahaemolyticus intoxication"	"A05.3"	"2016"	"2016"	1	323127513	Unreliable
	"Foodborne Vibrio parahaemolyticus intoxication"	"A05.3"	"2018"	"2018"	1	327167434	Unreliable
	"Foodborne Vibrio parahaemolyticus intoxication"	"A05.3"	"2020 "	"2020"	3	329484123	Unreliable
	"Bacterial foodborne intoxication, unspecified"	"A05.9"	"2014"	"2014"	2	318857056	Unreliable
	"Bacterial foodborne intoxication, unspecified"	"A05.9"	"2015"	"2015"	1	321418820	Unreliable
	"Bacterial foodborne intoxication, unspecified"	"A05.9"	"2018"	"2018"	2	327167434	Unreliable
	"Bacterial foodborne intoxication, unspecified"	"A05.9"	"2020 "	"2020"	2	329484123	Unreliable
	"Acute amoebic dysentery"	"A06.0"	"2011"	"2011"	1	311591917	Unreliable
	"Acute amoebic dysentery"	"A06.0"	"2012"	"2012"	2	313914040	Unreliable
	"Amoebic nondysenteric colitis"	"A06.2"	"2011"	"2011"	1	311591917	Unreliable
	"Amoebic liver abscess"	"A06.4"	"2012"	"2012"	1	313914040	Unreliable
	"Amoebic liver abscess"	"A06.4"	"2014"	"2014"	2	318857056	Unreliable
	"Amoebic liver abscess"	"A06.4"	"2016"	"2016"	2	323127513	Unreliable
	"Amoebic liver abscess"	"A06.4"	"2017"	"2017"	1	325719178	Unreliable
	"Amoebic liver abscess"	"A06.4"	"2018"	"2018"	2	327167434	Unreliable
	"Amoebic liver abscess"	"A06.4"	"2019"	"2019"	1	328239523	Unreliable
	"Amoebic liver abscess"	"A06.4"	"2020 "	"2020"	1	329484123	Unreliable
	"Amoebic lung abscess"	"A06.5"	"2011"	"2011"	1	311591917	Unreliable
	"Amoebic brain abscess"	"A06.6"	"2011"	"2011"	1	311591917	Unreliable
	"Amoebic brain abscess"	"A06.6"	"2014"	"2014"	3	318857056	Unreliable
	"Amoebic brain abscess"	"A06.6"	"2016"	"2016"	1	323127513	Unreliable
	"Amoebic brain abscess"	"A06.6"	"2018"	"2018"	1	327167434	Unreliable
	"Amoebic brain abscess"	"A06.6"	"2020 "	"2020"	2	329484123	Unreliable
	"Cutaneous amoebiasis"	"A06.7"	"2018"	"2018"	1	327167434	Unreliable
	"Amoebic infection of other sites"	"A06.8"	"2015"	"2015"	1	321418820	Unreliable
	"Amoebiasis, unspecified"	"A06.9"	"2011"	"2011"	1	311591917	Unreliable
	"Amoebiasis, unspecified"	"A06.9"	"2012"	"2012"	3	313914040	Unreliable
	"Amoebiasis, unspecified"	"A06.9"	"2013"	"2013"	1	316128839	Unreliable
	"Amoebiasis, unspecified"	"A06.9"	"2015"	"2015"	1	321418820	Unreliable
	"Amoebiasis, unspecified"	"A06.9"	"2016"	"2016"	3	323127513	Unreliable
	"Amoebiasis, unspecified"	"A06.9"	"2019"	"2019"	2	328239523	Unreliable
	"Amoebiasis, unspecified"	"A06.9"	"2020 "	"2020"	1	329484123	Unreliable
	"Giardiasis [lambliasis]"	"A07.1"	"2011"	"2011"	1	311591917	Unreliable
	"Giardiasis [lambliasis]"	"A07.1"	"2014"	"2014"	1	318857056	Unreliable
	"Giardiasis [lambliasis]"	"A07.1"	"2017"	"2017"	1	325719178	Unreliable
	"Giardiasis [lambliasis]"	"A07.1"	"2019"	"2019"	1	328239523	Unreliable
	"Giardiasis [lambliasis]"	"A07.1"	"2020 "	"2020"	1	329484123	Unreliable
	"Cryptosporidiosis"	"A07.2"	"2011"	"2011"	4	311591917	Unreliable
	"Cryptosporidiosis"	"A07.2"	"2012"	"2012"	2	313914040	Unreliable
	"Cryptosporidiosis"	"A07.2"	"2014"	"2014"	1	318857056	Unreliable
	"Cryptosporidiosis"	"A07.2"	"2015"	"2015"	1	321418820	Unreliable
	"Cryptosporidiosis"	"A07.2"	"2016"	"2016"	2	323127513	Unreliable
	"Cryptosporidiosis"	"A07.2"	"2017"	"2017"	5	325719178	Unreliable
	"Cryptosporidiosis"	"A07.2"	"2018"	"2018"	5	327167434	Unreliable
	"Cryptosporidiosis"	"A07.2"	"2020 "	"2020"	2	329484123	Unreliable
	"Isosporiasis"	"A07.3"	"2011"	"2011"	1	311591917	Unreliable
	"Isosporiasis"	"A07.3"	"2012"	"2012"	2	313914040	Unreliable
	"Isosporiasis"	"A07.3"	"2014"	"2014"	1	318857056	Unreliable
	"Isosporiasis"	"A07.3"	"2015"	"2015"	2	321418820	Unreliable
	"Isosporiasis"	"A07.3"	"2016"	"2016"	3	323127513	Unreliable
	"Isosporiasis"	"A07.3"	"2020 "	"2020"	1	329484123	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2012"	"2012"	3	313914040	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2013"	"2013"	1	316128839	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2014"	"2014"	1	318857056	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2015"	"2015"	6	321418820	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2016"	"2016"	4	323127513	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2017"	"2017"	1	325719178	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2018"	"2018"	3	327167434	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2019"	"2019"	2	328239523	Unreliable
	"Rotaviral enteritis"	"A08.0"	"2020 "	"2020"	2	329484123	Unreliable
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2011"	"2011"	6	311591917	Unreliable
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2012"	"2012"	18	313914040	Unreliable
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2013"	"2013"	28	316128839	0.0
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2014"	"2014"	21	318857056	0.0
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2015"	"2015"	11	321418820	Unreliable
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2016"	"2016"	17	323127513	Unreliable
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2017"	"2017"	27	325719178	0.0
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2018"	"2018"	41	327167434	0.0
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2019"	"2019"	42	328239523	0.0
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"2020 "	"2020"	31	329484123	0.0
	"Other viral enteritis"	"A08.3"	"2011"	"2011"	3	311591917	Unreliable
	"Other viral enteritis"	"A08.3"	"2012"	"2012"	1	313914040	Unreliable
	"Other viral enteritis"	"A08.3"	"2013"	"2013"	1	316128839	Unreliable
	"Other viral enteritis"	"A08.3"	"2014"	"2014"	4	318857056	Unreliable
	"Other viral enteritis"	"A08.3"	"2015"	"2015"	1	321418820	Unreliable
	"Other viral enteritis"	"A08.3"	"2017"	"2017"	1	325719178	Unreliable
	"Other viral enteritis"	"A08.3"	"2018"	"2018"	1	327167434	Unreliable
	"Other viral enteritis"	"A08.3"	"2020 "	"2020"	2	329484123	Unreliable
	"Viral intestinal infection, unspecified"	"A08.4"	"2011"	"2011"	101	311591917	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2012"	"2012"	119	313914040	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2013"	"2013"	110	316128839	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2014"	"2014"	102	318857056	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2015"	"2015"	98	321418820	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2016"	"2016"	78	323127513	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2017"	"2017"	91	325719178	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2018"	"2018"	74	327167434	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2019"	"2019"	76	328239523	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	"2020 "	"2020"	61	329484123	0.0
	"Other specified intestinal infections"	"A08.5"	"2017"	"2017"	2	325719178	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2011"	"2011"	571	311591917	0.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2012"	"2012"	549	313914040	0.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2013"	"2013"	504	316128839	0.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2014"	"2014"	489	318857056	0.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2015"	"2015"	495	321418820	0.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2016"	"2016"	478	323127513	0.1
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2017"	"2017"	470	325719178	0.1
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2018"	"2018"	450	327167434	0.1
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2019"	"2019"	515	328239523	0.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"2020 "	"2020"	437	329484123	0.1
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2011"	"2011"	2172	311591917	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2012"	"2012"	2061	313914040	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2013"	"2013"	2165	316128839	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2014"	"2014"	1916	318857056	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2015"	"2015"	1961	321418820	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2016"	"2016"	1883	323127513	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2017"	"2017"	1992	325719178	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2018"	"2018"	1985	327167434	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2019"	"2019"	2043	328239523	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"2020 "	"2020"	2157	329484123	0.7
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2011"	"2011"	223	311591917	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2012"	"2012"	235	313914040	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2013"	"2013"	239	316128839	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2014"	"2014"	210	318857056	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2015"	"2015"	221	321418820	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2016"	"2016"	243	323127513	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2017"	"2017"	246	325719178	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2018"	"2018"	223	327167434	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2019"	"2019"	216	328239523	0.1
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2020 "	"2020"	264	329484123	0.1
	"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	"A16.4"	"2011"	"2011"	2	311591917	Unreliable
	"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	"A16.4"	"2012"	"2012"	2	313914040	Unreliable
	"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	"A16.4"	"2013"	"2013"	2	316128839	Unreliable
	"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	"A16.4"	"2014"	"2014"	1	318857056	Unreliable
	"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	"A16.4"	"2018"	"2018"	2	327167434	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2011"	"2011"	3	311591917	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2012"	"2012"	3	313914040	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2013"	"2013"	2	316128839	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2014"	"2014"	2	318857056	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2015"	"2015"	3	321418820	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2016"	"2016"	5	323127513	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2017"	"2017"	4	325719178	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2018"	"2018"	3	327167434	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2019"	"2019"	3	328239523	Unreliable
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"2020 "	"2020"	2	329484123	Unreliable
	"Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"	"A16.7"	"2013"	"2013"	1	316128839	Unreliable
	"Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"	"A16.7"	"2016"	"2016"	3	323127513	Unreliable
	"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"	"A16.8"	"2013"	"2013"	1	316128839	Unreliable
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2011"	"2011"	166	311591917	0.1
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2012"	"2012"	136	313914040	0.0
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2013"	"2013"	163	316128839	0.1
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2014"	"2014"	126	318857056	0.0
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2015"	"2015"	120	321418820	0.0
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2016"	"2016"	136	323127513	0.0
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2017"	"2017"	99	325719178	0.0
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2018"	"2018"	123	327167434	0.0
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2019"	"2019"	127	328239523	0.0
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2020 "	"2020"	145	329484123	0.0
	"Tuberculous meningitis"	"A17.0"	"2011"	"2011"	12	311591917	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2012"	"2012"	8	313914040	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2013"	"2013"	8	316128839	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2014"	"2014"	10	318857056	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2015"	"2015"	3	321418820	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2016"	"2016"	5	323127513	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2017"	"2017"	7	325719178	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2018"	"2018"	11	327167434	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2019"	"2019"	6	328239523	Unreliable
	"Tuberculous meningitis"	"A17.0"	"2020 "	"2020"	11	329484123	Unreliable
